totallines,i,refractiveindex,bigradius,a,b,z,anglez,c,anglea,incidentangle,refractiveangle,anglede,dx,ee,et,ex,ey,anglece,angleced,outangle,mycolor
         10,         1,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,          8.00000000,          5.32367774,         43.26670015,         -2.10427066,          0.52391643,          6.60675909,          2.70658121,          7.52824137,         70.22528619,         26.95858604,         42.84516915,red             
         10,         2,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         13.00000000,          8.62503558,         39.96534231,         -1.71184667,          0.61495638,          6.62712567,          3.36740193,          7.25676266,         65.10698436,         25.14164206,         39.58975500,orange          
         10,         3,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         18.00000000,         11.88870772,         36.70167017,         -1.26693869,          0.77716704,          6.57122428,          4.00159441,          6.92728245,         59.98681348,         23.28514331,         36.36741298,yellow          
         10,         4,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         23.00000000,         15.09898582,         33.49139207,         -0.75751719,          1.02368944,          6.42440480,          4.60023554,          6.54506172,         54.89830590,         21.40691383,         33.19455476,green           
         10,         5,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         28.00000000,         18.23897408,         30.35140381,         -0.16817534,          1.37078043,          6.16916360,          5.15545848,          6.11729089,         49.87687461,         19.52547080,         30.08861490,blue            
         10,         6,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         33.00000000,         21.29025063,         27.30012726,          0.52085922,          1.83879853,          5.78418551,          5.66078025,          5.65292552,         44.96022146,         17.66009421,         27.06842197,red             
         10,         7,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         38.00000000,         24.23253971,         24.35783818,          1.33491764,          2.45339569,          5.24317142,          6.11138075,          5.16246311,         40.18876380,         15.83092561,         24.15454928,orange          
         10,         8,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         43.00000000,         27.04341870,         21.54695919,          2.30617412,          3.24680247,          4.51356396,          6.50431613,          4.65766805,         35.60602761,         14.05906842,         21.36962398,yellow          
         10,         9,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         48.00000000,         29.69810135,         18.89227654,          3.47463613,          4.25882371,          3.55555299,          6.83864797,          4.15125209,         31.25893095,         12.36665441,         18.73855553,green           
         10,        10,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         53.00000000,         32.16935941,         16.42101848,          4.88783468,          5.53654161,          2.32236195,          7.11546826,          3.65651629,         27.19784899,         10.77683051,         16.28862292,blue            
