totallines,i,refractiveindex,bigradius,a,b,z,anglez,c,anglea,incidentangle,refractiveangle,anglede,dx,ee,et,ex,ey,anglece,angleced,outangle,mycolor
        500,       301,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         33.10000000,         21.35023549,         27.24014240,          0.53582008,          1.84955830,          5.77499170,          5.67034155,          5.64333472,         44.86322973,         17.62308733,         27.00903076,lightgray       
        500,       302,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         33.20000000,         21.41017665,         27.18020124,          0.55083095,          1.86037672,          5.76573545,          5.67988086,          5.63373352,         44.76629631,         17.58609507,         26.94968218,gray            
        500,       303,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         33.30000000,         21.47007394,         27.12030395,          0.56589205,          1.87125400,          5.75641653,          5.68939817,          5.62412202,         44.66942153,         17.54911758,         26.89037640,darkgray        
        500,       304,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         33.40000000,         21.52992720,         27.06045069,          0.58100362,          1.88219038,          5.74703470,          5.69889342,          5.61450031,         44.57260574,         17.51215505,         26.83111360,black           
        500,       305,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         33.50000000,         21.58973626,         27.00064164,          0.59616590,          1.89318610,          5.73758973,          5.70836661,          5.60486848,         44.47584926,         17.47520762,         26.77189396,red             
        500,       306,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         33.60000000,         21.64950093,         26.94087696,          0.61137910,          1.90424140,          5.72808138,          5.71781769,          5.59522662,         44.37915244,         17.43827548,         26.71271763,purple          
        500,       307,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         33.70000000,         21.70922105,         26.88115684,          0.62664347,          1.91535649,          5.71850940,          5.72724663,          5.58557482,         44.28251561,         17.40135877,         26.65358481,magenta         
        500,       308,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         33.80000000,         21.76889645,         26.82148144,          0.64195924,          1.92653163,          5.70887356,          5.73665341,          5.57591317,         44.18593911,         17.36445767,         26.59449566,pink            
        500,       309,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         33.90000000,         21.82852696,         26.76185094,          0.65732664,          1.93776704,          5.69917363,          5.74603800,          5.56624176,         44.08942329,         17.32757235,         26.53545036,violet          
        500,       310,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         34.00000000,         21.88811239,         26.70226550,          0.67274592,          1.94906297,          5.68940935,          5.75540037,          5.55656068,         43.99296847,         17.29070297,         26.47644907,white           
        500,       311,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         34.10000000,         21.94765258,         26.64272531,          0.68821731,          1.96041966,          5.67958048,          5.76474048,          5.54687003,         43.89657500,         17.25384969,         26.41749199,orange          
        500,       312,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         34.20000000,         22.00714735,         26.58323054,          0.70374105,          1.97183734,          5.66968679,          5.77405832,          5.53716990,         43.80024323,         17.21701269,         26.35857929,yellow          
        500,       313,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         34.30000000,         22.06659653,         26.52378136,          0.71931738,          1.98331625,          5.65972803,          5.78335385,          5.52746038,         43.70397348,         17.18019213,         26.29971113,green           
        500,       314,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         34.40000000,         22.12599995,         26.46437794,          0.73494654,          1.99485665,          5.64970394,          5.79262705,          5.51774156,         43.60776611,         17.14338817,         26.24088770,lime            
        500,       315,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         34.50000000,         22.18535743,         26.40502046,          0.75062878,          2.00645877,          5.63961429,          5.80187788,          5.50801353,         43.51162145,         17.10660099,         26.18210917,brown           
        500,       316,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         34.60000000,         22.24466878,         26.34570911,          0.76636434,          2.01812285,          5.62945883,          5.81110633,          5.49827639,         43.41553985,         17.06983075,         26.12337572,olive           
        500,       317,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         34.70000000,         22.30393385,         26.28644404,          0.78215346,          2.02984915,          5.61923730,          5.82031236,          5.48853022,         43.31952165,         17.03307761,         26.06468753,blue            
        500,       318,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         34.80000000,         22.36315245,         26.22722544,          0.79799639,          2.04163791,          5.60894946,          5.82949595,          5.47877513,         43.22356720,         16.99634175,         26.00604478,cyan            
        500,       319,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         34.90000000,         22.42232440,         26.16805349,          0.81389338,          2.05348938,          5.59859505,          5.83865708,          5.46901120,         43.12767682,         16.95962334,         25.94744764,teal            
        500,       320,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         35.00000000,         22.48144954,         26.10892836,          0.82984467,          2.06540381,          5.58817383,          5.84779571,          5.45923853,         43.03185089,         16.92292253,         25.88889630,lightgray       
        500,       321,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         35.10000000,         22.54052767,         26.04985022,          0.84585052,          2.07738144,          5.57768554,          5.85691182,          5.44945721,         42.93608972,         16.88623950,         25.83039092,gray            
        500,       322,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         35.20000000,         22.59955863,         25.99081926,          0.86191118,          2.08942254,          5.56712993,          5.86600539,          5.43966734,         42.84039369,         16.84957442,         25.77193170,darkgray        
        500,       323,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         35.30000000,         22.65854223,         25.93183566,          0.87802689,          2.10152734,          5.55650673,          5.87507639,          5.42986900,         42.74476311,         16.81292745,         25.71351881,black           
        500,       324,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         35.40000000,         22.71747830,         25.87289959,          0.89419792,          2.11369612,          5.54581570,          5.88412480,          5.42006230,         42.64919836,         16.77629877,         25.65515242,red             
        500,       325,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         35.50000000,         22.77636666,         25.81401123,          0.91042451,          2.12592911,          5.53505658,          5.89315060,          5.41024732,         42.55369976,         16.73968854,         25.59683273,purple          
        500,       326,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         35.60000000,         22.83520713,         25.75517076,          0.92670693,          2.13822658,          5.52422911,          5.90215375,          5.40042416,         42.45826768,         16.70309692,         25.53855991,magenta         
        500,       327,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         35.70000000,         22.89399954,         25.69637835,          0.94304542,          2.15058879,          5.51333302,          5.91113423,          5.39059292,         42.36290245,         16.66652410,         25.48033414,pink            
        500,       328,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         35.80000000,         22.95274369,         25.63763420,          0.95944025,          2.16301599,          5.50236806,          5.92009203,          5.38075369,         42.26760443,         16.62997023,         25.42215560,violet          
        500,       329,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         35.90000000,         23.01143941,         25.57893848,          0.97589168,          2.17550844,          5.49133396,          5.92902712,          5.37090657,         42.17237397,         16.59343549,         25.36402448,white           
        500,       330,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         36.00000000,         23.07008653,         25.52029136,          0.99239997,          2.18806641,          5.48023046,          5.93793948,          5.36105164,         42.07721141,         16.55692005,         25.30594095,orange          
        500,       331,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         36.10000000,         23.12868485,         25.46169304,          1.00896537,          2.20069015,          5.46905731,          5.94682908,          5.35118902,         41.98211711,         16.52042407,         25.24790521,yellow          
        500,       332,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         36.20000000,         23.18723421,         25.40314368,          1.02558815,          2.21337993,          5.45781422,          5.95569591,          5.34131878,         41.88709142,         16.48394773,         25.18991743,green           
        500,       333,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         36.30000000,         23.24573441,         25.34464348,          1.04226859,          2.22613601,          5.44650094,          5.96453993,          5.33144103,         41.79213468,         16.44749119,         25.13197779,lime            
        500,       334,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         36.40000000,         23.30418527,         25.28619262,          1.05900693,          2.23895866,          5.43511719,          5.97336114,          5.32155586,         41.69724725,         16.41105463,         25.07408648,brown           
        500,       335,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         36.50000000,         23.36258662,         25.22779127,          1.07580345,          2.25184815,          5.42366272,          5.98215950,          5.31166336,         41.60242949,         16.37463822,         25.01624368,olive           
        500,       336,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         36.60000000,         23.42093827,         25.16943962,          1.09265841,          2.26480474,          5.41213724,          5.99093500,          5.30176365,         41.50768174,         16.33824212,         24.95844958,blue            
        500,       337,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         36.70000000,         23.47924004,         25.11113785,          1.10957209,          2.27782870,          5.40054049,          5.99968763,          5.29185680,         41.41300436,         16.30186650,         24.90070436,cyan            
        500,       338,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         36.80000000,         23.53749174,         25.05288615,          1.12654475,          2.29092030,          5.38887219,          6.00841734,          5.28194292,         41.31839770,         16.26551154,         24.84300820,teal            
        500,       339,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431284,         -5.29150262,        131.40962211,         36.90000000,         23.59569319,         24.99468470,          1.14357667,          2.30407982,          5.37713208,          6.01712414,          5.27202210,         41.22386212,         16.22917741,         24.78536130,lightgray       
