totallines,i,refractiveindex,bigradius,a,b,z,anglez,c,anglea,incidentangle,refractiveangle,anglede,dx,ee,et,ex,ey,anglece,angleced,outangle,mycolor
        500,       101,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,         13.10000000,          8.69072906,         39.89964659,         -1.70349782,          0.61746376,          6.62679995,          3.38037844,          7.25072697,         65.00448681,         25.10484022,         39.52492847,white           
        500,       102,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,         13.20000000,          8.75640737,         39.83396828,         -1.69512835,          0.61999951,          6.62644371,          3.39334363,          7.24466832,         64.90199217,         25.06802389,         39.46011749,orange          
        500,       103,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,         13.30000000,          8.82207039,         39.76830526,         -1.68673780,          0.62256384,          6.62605681,          3.40629799,          7.23858647,         64.79949726,         25.03119200,         39.39531997,yellow          
        500,       104,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,         13.40000000,          8.88771800,         39.70265765,         -1.67832609,          0.62515685,          6.62563914,          3.41924145,          7.23248145,         64.69700233,         24.99434468,         39.33053605,green           
        500,       105,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,         13.50000000,          8.95335008,         39.63702557,         -1.66989314,          0.62777864,          6.62519061,          3.43217394,          7.22635330,         64.59450766,         24.95748208,         39.26576584,lime            
        500,       106,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,         13.60000000,          9.01896650,         39.57140915,         -1.66143884,          0.63042929,          6.62471110,          3.44509538,          7.22020206,         64.49201349,         24.92060434,         39.20100948,brown           
        500,       107,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,         13.70000000,          9.08456714,         39.50580851,         -1.65296313,          0.63310890,          6.62420050,          3.45800569,          7.21402777,         64.38952011,         24.88371159,         39.13626710,olive           
        500,       108,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,         13.80000000,          9.15015188,         39.44022377,         -1.64446590,          0.63581758,          6.62365871,          3.47090482,          7.20783045,         64.28702776,         24.84680399,         39.07153883,blue            
        500,       109,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,         13.90000000,          9.21572060,         39.37465505,         -1.63594708,          0.63855541,          6.62308560,          3.48379267,          7.20161014,         64.18453671,         24.80988166,         39.00682479,cyan            
        500,       110,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,         14.00000000,          9.28127317,         39.30910248,         -1.62740657,          0.64132250,          6.62248108,          3.49666918,          7.19536689,         64.08204723,         24.77294475,         38.94212511,teal            
