c,d,startingangle,dk,bigf,t,x,y,yprime,tangentangle,normalangle,incidentangle,reflectangle,mycolor
          -6.32455532,          6.32455532,         10.00000000,          6.22847111,         10.20614758,         11.66514976,          5.16337460,          2.02563200,         -0.46818718,        154.91160903,         64.91160903,         54.91160903,        299.82321807,red             
          -6.32455532,          6.32455532,         25.00000000,          5.73199374,         16.14424781,          7.09775674,          0.10819688,          2.99964161,         -0.00662509,        179.62041584,         89.62041584,         64.62041584,        334.24083168,orange          
          -6.32455532,          6.32455532,         50.00000000,          4.06534580,         32.47296355,          3.06680085,         -4.35325373,          2.34930575,          0.34034617,        198.79581026,        108.79581026,         58.79581026,        347.59162051,yellow          
          -6.32455532,          6.32455532,         85.00000000,          0.55122132,         48.69615506,          1.39561310,         -6.20291962,          1.39030237,          0.81947049,        219.33360720,        129.33360720,         44.33360720,        353.66721441,green           
          -6.32455532,          6.32455532,        130.00000000,         -4.06534580,         32.47296355,          0.81335009,         -6.84736668,          0.62306232,          2.01854543,        243.64589802,        153.64589802,         23.64589802,        357.29179604,blue            
          -6.32455532,          6.32455532,        185.00000000,         -6.30048848,          9.30384494,          0.67666688,         -6.99864728,         -0.05897540,        -21.79664290,        -87.37319041,       -177.37319041,       -362.37319041,       -359.74638082,red             
          -6.32455532,          6.32455532,        250.00000000,         -2.16312532,         44.32088886,          0.98219763,         -6.66048670,         -0.92296387,         -1.32546326,        -52.96715536,       -142.96715536,       -392.96715536,       -355.93431072,orange          
          -6.32455532,          6.32455532,        325.00000000,          5.18077242,         22.15959713,          4.94715455,         -2.27208356,         -2.83757128,         -0.14706995,         -8.36651021,        -98.36651021,       -423.36651021,       -341.73302041,yellow          
          -6.32455532,          6.32455532,        410.00000000,          4.06534580,         32.47296355,          3.06680085,         -4.35325373,          2.34930575,          0.34034617,        198.79581026,        108.79581026,       -301.20418974,        -12.40837949,green           
          -6.32455532,          6.32455532,        505.00000000,         -5.18077242,         22.15959713,          0.73886940,         -6.92980170,          0.42379808,          3.00336596,        251.58431728,        161.58431728,       -343.41568272,         -1.83136544,blue            
          -6.32455532,          6.32455532,        -10.00000000,          6.22847111,         10.20614758,         11.66514976,          5.16337460,         -2.02563200,          0.46818718,         25.08839097,        -64.91160903,        -54.91160903,         60.17678193,red             
          -6.32455532,          6.32455532,        -25.00000000,          5.73199374,         16.14424781,          7.09775674,          0.10819688,         -2.99964161,          0.00662509,          0.37958416,        -89.62041584,        -64.62041584,         25.75916832,orange          
          -6.32455532,          6.32455532,        -50.00000000,          4.06534580,         32.47296355,          3.06680085,         -4.35325373,         -2.34930575,         -0.34034617,        -18.79581026,       -108.79581026,        -58.79581026,         12.40837949,yellow          
          -6.32455532,          6.32455532,        -85.00000000,          0.55122132,         48.69615506,          1.39561310,         -6.20291962,         -1.39030237,         -0.81947049,        -39.33360720,       -129.33360720,        -44.33360720,          6.33278559,green           
          -6.32455532,          6.32455532,       -130.00000000,         -4.06534580,         32.47296355,          0.81335009,         -6.84736668,         -0.62306232,         -2.01854543,        -63.64589802,       -153.64589802,        -23.64589802,          2.70820396,blue            
          -6.32455532,          6.32455532,       -185.00000000,         -6.30048848,          9.30384494,          0.67666688,         -6.99864728,          0.05897540,         21.79664290,        267.37319041,        177.37319041,        362.37319041,        719.74638082,red             
          -6.32455532,          6.32455532,       -250.00000000,         -2.16312532,         44.32088886,          0.98219763,         -6.66048670,          0.92296387,          1.32546326,        232.96715536,        142.96715536,        392.96715536,        715.93431072,orange          
          -6.32455532,          6.32455532,       -325.00000000,          5.18077242,         22.15959713,          4.94715455,         -2.27208356,          2.83757128,          0.14706995,        188.36651021,         98.36651021,        423.36651021,        701.73302041,yellow          
          -6.32455532,          6.32455532,       -410.00000000,          4.06534580,         32.47296355,          3.06680085,         -4.35325373,         -2.34930575,         -0.34034617,        -18.79581026,       -108.79581026,        301.20418974,        372.40837949,green           
          -6.32455532,          6.32455532,       -505.00000000,         -5.18077242,         22.15959713,          0.73886940,         -6.92980170,         -0.42379808,         -3.00336596,        -71.58431728,       -161.58431728,        343.41568272,        361.83136544,blue            
