totallines,i,refractiveindex,bigradius,a,b,z,anglez,c,anglea,incidentangle,refractiveangle,anglede,dx,ee,et,ex,ey,anglece,angleced,outangle,mycolor
        500,       451,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,         48.10000000,         29.74941893,         18.84095671,          3.50033407,          4.28160836,          3.53375034,          6.84474131,          4.14119746,         31.17472904,         12.33377232,         18.68768460,cyan            
        500,       452,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,         48.20000000,         29.80066292,         18.78971273,          3.52612883,          4.30449838,          3.51183847,          6.85081128,          4.13114813,         31.09064565,         12.30093292,         18.63688859,teal            
        500,       453,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,         48.30000000,         29.85183315,         18.73854250,          3.55202215,          4.32749534,          3.48981587,          6.85685821,          4.12110368,         31.00667739,         12.26813490,         18.58616541,lightgray       
        500,       454,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,         48.40000000,         29.90292941,         18.68744624,          3.57801444,          4.35059964,          3.46768213,          6.86288212,          4.11106422,         30.92282469,         12.23537845,         18.53551530,gray            
        500,       455,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,         48.50000000,         29.95395146,         18.63642419,          3.60410611,          4.37381170,          3.44543686,          6.86888303,          4.10102985,         30.83908795,         12.20266377,         18.48493847,darkgray        
        500,       456,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,         48.60000000,         30.00489908,         18.58547657,          3.63029756,          4.39713191,          3.42307964,          6.87486097,          4.09100070,         30.75546761,         12.16999104,         18.43443517,black           
        500,       457,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,         48.70000000,         30.05577204,         18.53460361,          3.65658922,          4.42056069,          3.40061008,          6.88081593,          4.08097685,         30.67196407,         12.13736045,         18.38400562,red             
        500,       458,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,         48.80000000,         30.10657010,         18.48380555,          3.68298149,          4.44409843,          3.37802776,          6.88674796,          4.07095843,         30.58857775,         12.10477220,         18.33365006,purple          
        500,       459,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,         48.90000000,         30.15729303,         18.43308261,          3.70947478,          4.46774556,          3.35533230,          6.89265706,          4.06094554,         30.50530909,         12.07222647,         18.28336870,magenta         
        500,       460,          1.50000000,          8.00000000,          3.00000000,          3.00000000,          7.41619849,         22.02431321,         -5.29150262,        131.40962435,         49.00000000,         30.20794062,         18.38243503,          3.73606952,          4.49150248,          3.33252328,          6.89854325,          4.05093829,         30.42215849,         12.03972346,         18.23316179,pink            
